"id","login","pressed_key","time_hold","time_to_next"
"40503","Kinga","65","31.0","31"
"40504","Kinga","77","57.0","110"
"40505","Kinga","69","112","17"
"40506","Kinga","32","71.0","193"
"40507","Kinga","65","96.0","23"
"40508","Kinga","76","73.0","95"
"40509","Kinga","73","120","376"
"40510","Kinga","86","32.0","32"
"40511","Kinga","69","112","121"
"40512","Kinga","32","63.0","217"
"40513","Kinga","65","23.0","23"
"40514","Kinga","83","119","48"
"40515","Kinga","32","48.0","112"
"40516","Kinga","84","56.0","15"
"40517","Kinga","72","97.0","80"
"40518","Kinga","69","112","0"
"40519","Kinga","32","80.0","105"
"40520","Kinga","67","111","1"
"40521","Kinga","188","39.0","128"
"40522","Kinga","73","88.0","152"
"40523","Kinga","77","72.0","72"
"40524","Kinga","69","112","497"
"40525","Kinga","86","71.0","24"
"40526","Kinga","82","56.0","145"
"40527","Kinga","83","79.0","23"
"40528","Kinga","32","57.0","433"
"40529","Kinga","70","32.0","399"
"40530","Kinga","82","32.0","32"
"40531","Kinga","69","104","120"
"40532","Kinga","87","112","64"
"40533","Kinga","32","56.0","152"
"40534","Kinga","67","112","344"
"40535","Kinga","76","56.0","112"
"40536","Kinga","79","72.0","144"
"40537","Kinga","83","40.0","40"
"40538","Kinga","69","104","337"
"40539","Kinga","82","87.0","88"
"40540","Kinga","190","88.0","121"
"40541","Kinga","32","87.0","273"
"40542","Kinga","16","7.00","7"
"40543","Kinga","84","63.0","56"
"40544","Kinga","72","80.0","32"
"40545","Kinga","69","104","40"
"40546","Kinga","32","64.0","256"
"40547","Kinga","65","145","264"
"40548","Kinga","8","79.0","177"
"40549","Kinga","78","63.0","56"
"40550","Kinga","65","88.0","233"
"40551","Kinga","8","48.0","96"
"40552","Kinga","8","55.0","152"
"40553","Kinga","72","72.0","20"
"40554","Kinga","65","109","0"
"40555","Kinga","78","63.0","30"
"40556","Kinga","68","98.0","32"
"40557","Kinga","32","48.0","240"
"40558","Kinga","83","120","56"
"40559","Kinga","65","112","177"
"40560","Kinga","78","31.0","31"
"40561","Kinga","73","143","120"
"40562","Kinga","84","88.0","32"
"40563","Kinga","73","88.0","337"
"40564","Kinga","90","95.0","48"
"40565","Kinga","69","104","136"
"40566","Kinga","82","73.0","127"
"40567","Kinga","32","64.0","48"
"40568","Kinga","87","104","32"
"40569","Kinga","65","104","48"
"40570","Kinga","83","96.0","56"
"40571","Kinga","32","48.0","88"
"40572","Kinga","65","112","88"
"40573","Kinga","67","96.0","152"
"40574","Kinga","84","80.0","17"
"40575","Kinga","85","79.0","129"
"40576","Kinga","65","79.0","48"
"40577","Kinga","76","72.0","72"
"40578","Kinga","76","72.0","121"
"40579","Kinga","89","95.0","113"
"40580","Kinga","32","95.0","1"
"40581","Kinga","67","95.0","128"
"40582","Kinga","76","8.00","8"
"40583","Kinga","69","104","80"
"40584","Kinga","65","80.0","120"
"40585","Kinga","82","72.0","32"
"40586","Kinga","32","64.0","520"
"40587","Kinga","68","64.0","12"
"40588","Kinga","76","76.0","281"
"40589","Kinga","8","39.0","96"
"40590","Kinga","8","56.0","37"
"40591","Kinga","71","75.0","56"
"40592","Kinga","76","88.0","185"
"40593","Kinga","69","95.0","201"
"40594","Kinga","190","63.0","129"
"40595","Kinga","32","71.0","248"
"40596","Kinga","16","32.0","64"
"40597","Kinga","82","32.0","32"
"40598","Kinga","69","104","136"
"40599","Kinga","83","129","0"
"40600","Kinga","32","71.0","129"
"40601","Kinga","73","79.0","521"
"40602","Kinga","83","95.0","112"
"40603","Kinga","32","56.0","112"
"40604","Kinga","68","80.0","360"
"40605","Kinga","8","72.0","256"
"40606","Kinga","71","112","80"
"40607","Kinga","82","80.0","136"
"40608","Kinga","69","64.0","417"
"40609","Kinga","69","87.0","152"
"40610","Kinga","78","72.0","56"
"40611","Kinga","69","80.0","104"
"40612","Kinga","82","80.0","40"
"40613","Kinga","32","64.0","240"
"40614","Kinga","82","88.0","64"
"40615","Kinga","72","80.0","64"
"40616","Kinga","65","96.0","72"
"40617","Kinga","78","56.0","145"
"40618","Kinga","32","47.0","160"
"40619","Kinga","80","96.0","152"
"40620","Kinga","85","72.0","144"
"40621","Kinga","82","96.0","153"
"40622","Kinga","80","87.0","72"
"40623","Kinga","76","96.0","41"
"40624","Kinga","69","95.0","200"
"40625","Kinga","32","72.0","353"
"40626","Kinga","188","71.0","112"
"40627","Kinga","32","72.0","48"
"40628","Kinga","70","88.0","1"
"40629","Kinga","79","95.0","48"
"40630","Kinga","82","104","80"
"40631","Kinga","32","56.0","64"
"40632","Kinga","83","112","30"
"40633","Kinga","89","66.0","160"
"40634","Kinga","82","152","1"
"40635","Kinga","69","111","88"
"40636","Kinga","190","72.0","152"
"40637","Kinga","32","56.0","152"
"40638","Kinga","16","88.0","88"
"40639","Kinga","83","119","65"
"40640","Kinga","79","80.0","144"
"40641","Kinga","77","16.0","16"
"40642","Kinga","69","80.0","128"
"40643","Kinga","84","112","48"
"40644","Kinga","73","80.0","192"
"40645","Kinga","77","8.00","8"
"40646","Kinga","69","104","88"
"40647","Kinga","83","112","328"
"40648","Kinga","188","32.0","128"
"40649","Kinga","32","64.0","72"
"40650","Kinga","65","64.0","40"
"40651","Kinga","76","48.0","96"
"40652","Kinga","76","64.0","144"
"40653","Kinga","32","80.0","296"
"40654","Kinga","89","96.0","1"
"40655","Kinga","79","95.0","72"
"40656","Kinga","85","72.0","144"
"40657","Kinga","32","88.0","96"
"40658","Kinga","66","64.0","34"
"40659","Kinga","69","54.0","104"
"40660","Kinga","69","64.0","128"
"40661","Kinga","68","56.0","32"
"40662","Kinga","32","64.0","120"
"40663","Kinga","84","88.0","34"
"40664","Kinga","79","78.0","184"
"40665","Kinga","32","120","24"
"40666","Kinga","68","96.0","33"
"40667","Kinga","79","87.0","88"
"40668","Kinga","32","80.0","49"
"40669","Kinga","85","39.0","39"
"40670","Kinga","73","56.0","63"
"40671","Kinga","83","104","128"
"40672","Kinga","32","64.0","304"
"40673","Kinga","67","105","0"
"40674","Kinga","79","79.0","89"
"40675","Kinga","77","87.0","128"
"40676","Kinga","80","88.0","153"
"40677","Kinga","76","79.0","48"
"40678","Kinga","69","96.0","424"
"40679","Kinga","84","8.00","8"
"40680","Kinga","69","112","1"
"40681","Kinga","76","63.0","104"
